Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Pressure,Pressure,Temperature,Temperature,GSR,GSR,
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,kPa,no units,Celcius*,no units,kOhms,
11635045,138608.459472656,2055,-5.67469879518072,2518,-0.0963855421686747,1384,7.98795180722892,8656,-5.3071735131821,-640,-0.392397302268547,-13408,8.22072348252606,-30,-1.16030534351145,76,0.458015267175573,-20,0.305343511450382,43220,99.7301042451196,27179,27.5909180079654,50917,1987.7277687557,1493933797114,
11641599,138808.471679688,2055,-5.68674698795181,2519,-0.0963855421686747,1384,7.98795180722892,8672,-5.31698344573881,-624,-0.382587369711833,-13312,8.16186388718578,-45,-0.961832061068702,63,0.687022900763359,-47,0.717557251908397,43220,99.7335038838839,27181,27.6027256470053,50917,1987.7277687557,1493933797300,
11648153,139008.483886719,2059,-5.6144578313253,2513,-0.144578313253012,1384,7.98795180722892,8608,-5.27774371551196,-528,-0.323727774371551,-13408,8.22072348252606,-40,-1.0381679389313,68,0.610687022900763,-37,0.564885496183206,43223,99.742185852451,27181,27.6027256470053,50916,1989.53029577153,1493933797514,
11654707,139208.49609375,2056,-5.67469879518072,2518,-0.108433734939759,1385,7.97590361445783,8752,-5.36603310852238,-592,-0.362967504598406,-13296,8.15205395462906,-47,-0.99236641221374,65,0.717557251908397,-38,0.580152671755725,43220,99.7335038838839,27181,27.6027256470053,50916,1989.53029577153,1493933797701,
11661261,139408.508300781,2058,-5.63855421686747,2515,-0.132530120481928,1383,8,8656,-5.3071735131821,-560,-0.343347639484979,-13408,8.22072348252606,-17,-0.793893129770992,52,0.259541984732824,-50,0.763358778625954,43218,99.7277159085284,27181,27.6027256470053,50917,1987.7277687557,1493933797888,
11667815,139608.520507813,2059,-5.66265060240964,2517,-0.144578313253012,1386,7.96385542168675,8608,-5.27774371551196,-544,-0.333537706928265,-13408,8.22072348252606,-53,-0.809160305343511,53,0.809160305343511,-55,0.83969465648855,43220,99.7335038838839,27181,27.6027256470053,50917,1987.7277687557,1493933798097,
11674369,139808.532714844,2062,-5.66265060240964,2517,-0.180722891566265,1382,8.01204819277108,8608,-5.27774371551196,-624,-0.382587369711833,-13440,8.24034334763948,-23,-1.22137404580153,80,0.351145038167939,-62,0.946564885496183,43220,99.740302585554,27185,27.6263387472792,50917,1987.7277687557,1493933798313,
11680923,140008.544921875,2061,-5.57831325301205,2510,-0.168674698795181,1385,7.97590361445783,8624,-5.28755364806867,-608,-0.37277743715512,-13392,8.21091354996934,15,-1.17557251908397,77,-0.229007633587786,-26,0.396946564885496,43220,99.740302585554,27185,27.6263387472792,50916,1989.53029577153,1493933798504,
11687477,140208.557128906,2063,-5.62650602409639,2514,-0.192771084337349,1381,8.02409638554217,8688,-5.32679337829552,-560,-0.343347639484979,-13344,8.1814837522992,-83,-0.366412213740458,24,1.26717557251908,-34,0.519083969465649,43220,99.740302585554,27185,27.6263387472792,50916,1989.53029577153,1493933798687,
11694031,140408.569335938,2057,-5.65060240963855,2516,-0.120481927710843,1382,8.01204819277108,8720,-5.34641324340895,-544,-0.333537706928265,-13424,8.23053341508277,-91,-1.3587786259542,89,1.38931297709924,-41,0.625954198473282,43220,99.740302585554,27185,27.6263387472792,50916,1989.53029577153,1493933798921,
11700585,140608.581542969,2067,-5.69879518072289,2520,-0.240963855421687,1387,7.95180722891566,8720,-5.34641324340895,-560,-0.343347639484979,-13392,8.21091354996934,-110,-1.19083969465649,78,1.6793893129771,-70,1.06870229007634,43219,99.7374084444116,27185,27.6263387472792,50916,1989.53029577153,1493933799112,
11707139,140808.59375,2060,-5.71084337349398,2521,-0.156626506024096,1387,7.95180722891566,8736,-5.35622317596567,-704,-0.431637032495402,-13280,8.14224402207235,-17,-0.793893129770992,52,0.259541984732824,20,-0.305343511450382,43219,99.7374084444116,27185,27.6263387472792,50916,1989.53029577153,1493933799296,
11713693,141008.605957031,2059,-5.68674698795181,2519,-0.144578313253012,1385,7.97590361445783,8672,-5.31698344573881,-544,-0.333537706928265,-13328,8.17167381974249,-57,-0.320610687022901,21,0.870229007633588,-44,0.67175572519084,43220,99.740302585554,27185,27.6263387472792,50916,1989.53029577153,1493933799504,
11720247,141208.618164063,2059,-5.65060240963855,2516,-0.144578313253012,1383,8,8640,-5.29736358062538,-560,-0.343347639484979,-13312,8.16186388718578,-70,-1.37404580152672,90,1.06870229007634,-61,0.931297709923664,43220,99.740302585554,27185,27.6263387472792,50917,1987.7277687557,1493933799689,
11726801,141408.630371094,2061,-5.68674698795181,2519,-0.168674698795181,1385,7.97590361445783,8704,-5.33660331085224,-576,-0.353157572041692,-13376,8.20110361741263,-46,-0.763358778625954,50,0.702290076335878,-57,0.870229007633588,43216,99.7287260254119,27185,27.6263387472792,50917,1987.7277687557,1493933799897,
11733355,141608.642578125,2062,-5.59036144578313,2511,-0.180722891566265,1384,7.98795180722892,8672,-5.31698344573881,-592,-0.362967504598406,-13440,8.24034334763948,-49,-0.99236641221374,65,0.748091603053435,-62,0.946564885496183,43220,99.740302585554,27185,27.6263387472792,50918,1985.92850498508,1493933800097,
